country,city,name,img,building_page-href,date_start,date_end,floors,tags,developer
United States,Chicago,One Magnificent Mile,../skyscraperpage.com/diagrams/images/34831.gif,http://skyscraperpage.com/cities/?buildingID=1055,null,1983,57,Building Uses - mixed use - office - residential - restaurant - retail: Structural Types - highrise: Architectural Style - modern: Materials - granite,
United States,Chicago,340 on the Park,../skyscraperpage.com/diagrams/images/53636.gif,http://skyscraperpage.com/cities/?buildingID=18341,2005,2007,64,Building Uses - residential - garden - parking garage - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete: reinforced,
United States,Chicago,United Building,../skyscraperpage.com/diagrams/images/64716.gif,http://skyscraperpage.com/cities/?buildingID=1686,1990,1992,49,Building Uses - office: Structural Types - highrise: Architectural Style - postmodern: Materials - copper - glass - steel - stone - wood - marble - granite - concrete: reinforced,
United States,Chicago,UBS Tower,../skyscraperpage.com/diagrams/images/33778.gif,http://skyscraperpage.com/cities/?buildingID=869,1999,2001,50,Building Uses - office - restaurant: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - concrete,
United States,Chicago,Richard J. Daley Center,../skyscraperpage.com/diagrams/images/55884.gif,http://skyscraperpage.com/cities/?buildingID=2146,1960,1965,32,Building Uses - courthouse - government - office: Structural Types - highrise: Architectural Style - international: Materials - glass - steel,
United States,Chicago,55 East Erie,../skyscraperpage.com/diagrams/images/52584.gif,http://skyscraperpage.com/cities/?buildingID=8642,2001,2003,58,Building Uses - residential - other: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete,
United States,Chicago,Lake Point Tower,../skyscraperpage.com/diagrams/images/58355.gif,http://skyscraperpage.com/cities/?buildingID=82,1965,1968,69,Building Uses - residential: Structural Types - highrise: Architectural Style - international,
United States,Chicago,River East Center,../skyscraperpage.com/diagrams/images/51673.gif,http://skyscraperpage.com/cities/?buildingID=925,1999,2001,58,Building Uses - residential - restaurant - retail: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - steel - concrete,
United States,Chicago,Grand Plaza I,../skyscraperpage.com/diagrams/images/5776.gif,http://skyscraperpage.com/cities/?buildingID=5778,2000,2004,57,Building Uses - residential: Structural Types - highrise: Architectural Style - postmodern: Materials - glass - concrete,
United States,Chicago,155 North Wacker,../skyscraperpage.com/diagrams/images/53712.gif,http://skyscraperpage.com/cities/?buildingID=52600,2007,2009,45,Building Uses - office: Structural Types - highrise: Architectural Style - modern: Materials - glass - steel - granite - concrete: reinforced,
United States,Chicago,Leo Burnett Building,../skyscraperpage.com/diagrams/images/33759.gif,http://skyscraperpage.com/cities/?buildingID=6669,1987,1989,46,Building Uses - office - restaurant: Structural Types - highrise: Architectural Style - postmodern: Materials - masonry - glass - steel - concrete,
United States,Chicago,The Heritage at Millennium Park,../skyscraperpage.com/diagrams/images/11473.gif,http://skyscraperpage.com/cities/?buildingID=8752,2002,2005,57,Building Uses - residential - other: Structural Types - highrise: Architectural Style - postmodern: Materials - concrete,
United States,Chicago,OneEleven,../skyscraperpage.com/diagrams/images/68145.gif,http://skyscraperpage.com/cities/?buildingID=5386,2006,2014,59,Building Uses - residential - office - parking garage - retail: Structural Types - highrise: Architectural Style - modern,
United States,Chicago,NBC Tower,../skyscraperpage.com/diagrams/images/73157.gif,http://skyscraperpage.com/cities/?buildingID=329,1985,1989,37,Building Uses - office: Structural Types - highrise: Architectural Style - art deco - postmodern: Materials - masonry - limestone,
United States,Chicago,353 North Clark,../skyscraperpage.com/diagrams/images/59476.gif,http://skyscraperpage.com/cities/?buildingID=43456,2007,2009,40,Building Uses - office - parking garage - restaurant - retail: Structural Types - highrise: Architectural Style - modern,
